episode,reward_first0,reward_second0,rolling_avg_30,epsilon
0,0.0,0.0,0.0,1.0
1,-2.0,2.0,-1.0,1.0
2,3.0,-3.0,0.33,1.0
3,0.0,0.0,0.25,1.0
4,1.0,-1.0,0.4,1.0
5,-1.0,1.0,0.17,0.998
6,4.0,-4.0,0.71,0.993
7,3.0,-3.0,1.0,0.987
8,-1.0,1.0,0.78,0.982
9,-3.0,3.0,0.4,0.977
10,-1.0,1.0,0.27,0.972
11,1.0,-1.0,0.33,0.966
12,-6.0,6.0,-0.15,0.961
13,0.0,0.0,-0.14,0.956
14,-2.0,2.0,-0.27,0.951
15,-3.0,3.0,-0.44,0.946
16,-3.0,3.0,-0.59,0.941
17,-2.0,2.0,-0.67,0.936
18,-2.0,2.0,-0.74,0.931
19,0.0,0.0,-0.7,0.926
20,-1.0,1.0,-0.71,0.921
21,-7.0,7.0,-1.0,0.916
22,7.0,-7.0,-0.65,0.911
23,3.0,-3.0,-0.5,0.906
24,9.0,-9.0,-0.12,0.901
25,-7.0,7.0,-0.38,0.897
26,-3.0,3.0,-0.48,0.892
27,-4.0,4.0,-0.61,0.887
28,-9.0,9.0,-0.9,0.882
29,1.0,-1.0,-0.83,0.878
30,-1.0,1.0,-0.87,0.873
31,-11.0,11.0,-1.17,0.868
32,-9.0,9.0,-1.57,0.864
33,-2.0,2.0,-1.63,0.859
34,-6.0,6.0,-1.87,0.854
35,0.0,0.0,-1.83,0.85
36,8.0,-8.0,-1.7,0.845
37,-2.0,2.0,-1.87,0.841
38,-11.0,11.0,-2.2,0.836
39,-16.0,16.0,-2.63,0.832
40,-3.0,3.0,-2.7,0.827
41,-4.0,4.0,-2.87,0.823
42,0.0,0.0,-2.67,0.819
43,0.0,0.0,-2.67,0.814
44,-6.0,6.0,-2.8,0.81
45,-9.0,9.0,-3.0,0.805
46,-1.0,1.0,-2.93,0.801
47,-12.0,12.0,-3.27,0.797
48,-5.0,5.0,-3.37,0.793
49,15.0,-15.0,-2.87,0.788
50,-1.0,1.0,-2.87,0.784
51,2.0,-2.0,-2.57,0.78
52,-13.0,13.0,-3.23,0.776
53,-4.0,4.0,-3.47,0.772
54,3.0,-3.0,-3.67,0.768
55,-2.0,2.0,-3.5,0.763
56,-1.0,1.0,-3.43,0.759
57,0.0,0.0,-3.3,0.755
58,-16.0,16.0,-3.53,0.751
59,10.0,-10.0,-3.23,0.747
60,4.0,-4.0,-3.07,0.743
61,-8.0,8.0,-2.97,0.739
62,2.0,-2.0,-2.6,0.735
63,1.0,-1.0,-2.5,0.731
64,-2.0,2.0,-2.37,0.728
65,1.0,-1.0,-2.33,0.724
66,-6.0,6.0,-2.8,0.72
67,-5.0,5.0,-2.9,0.716
68,3.0,-3.0,-2.43,0.712
69,0.0,0.0,-1.9,0.708
70,-6.0,6.0,-2.0,0.705
71,4.0,-4.0,-1.73,0.701
72,1.0,-1.0,-1.7,0.697
73,3.0,-3.0,-1.6,0.693
74,-15.0,15.0,-1.9,0.69
75,-2.0,2.0,-1.67,0.686
76,-10.0,10.0,-1.97,0.682
77,2.0,-2.0,-1.5,0.679
78,-5.0,5.0,-1.5,0.675
79,-6.0,6.0,-2.2,0.671
80,13.0,-13.0,-1.73,0.668
81,-7.0,7.0,-2.03,0.664
82,-3.0,3.0,-1.7,0.661
83,-1.0,1.0,-1.6,0.657
84,1.0,-1.0,-1.67,0.654
85,-5.0,5.0,-1.77,0.65
86,3.0,-3.0,-1.63,0.647
87,-2.0,2.0,-1.7,0.643
88,-2.0,2.0,-1.23,0.64
89,-6.0,6.0,-1.77,0.636
90,4.0,-4.0,-1.77,0.633
91,0.0,0.0,-1.5,0.63
92,-2.0,2.0,-1.63,0.626
93,5.0,-5.0,-1.5,0.623
94,2.0,-2.0,-1.37,0.62
95,-3.0,3.0,-1.5,0.616
96,17.0,-17.0,-0.73,0.613
97,-2.0,2.0,-0.63,0.61
98,-6.0,6.0,-0.93,0.606
99,-2.0,2.0,-1.0,0.603
100,-1.0,1.0,-0.83,0.6
101,2.0,-2.0,-0.9,0.597
102,8.0,-8.0,-0.67,0.594
103,5.0,-5.0,-0.6,0.59
104,-7.0,7.0,-0.33,0.587
105,-3.0,3.0,-0.37,0.584
106,1.0,-1.0,0.0,0.581
107,1.0,-1.0,-0.03,0.578
108,1.0,-1.0,0.17,0.575
109,-8.0,8.0,0.1,0.572
110,-4.0,4.0,-0.47,0.569
111,4.0,-4.0,-0.1,0.566
112,7.0,-7.0,0.23,0.563
113,3.0,-3.0,0.37,0.56
114,-1.0,1.0,0.3,0.557
115,-1.0,1.0,0.43,0.554
116,-12.0,12.0,-0.07,0.551
117,-2.0,2.0,-0.07,0.548
118,-1.0,1.0,-0.03,0.545
119,-2.0,2.0,0.1,0.542
120,-17.0,17.0,-0.6,0.539
121,-12.0,12.0,-1.0,0.536
122,-4.0,4.0,-1.07,0.533
123,2.0,-2.0,-1.17,0.53
124,1.0,-1.0,-1.2,0.528
125,-5.0,5.0,-1.27,0.525
126,-15.0,15.0,-2.33,0.522
127,-1.0,1.0,-2.3,0.519
128,-6.0,6.0,-2.3,0.516
129,-8.0,8.0,-2.5,0.514
130,4.0,-4.0,-2.33,0.511
131,-7.0,7.0,-2.63,0.508
132,0.0,0.0,-2.9,0.506
133,0.0,0.0,-3.07,0.503
134,-2.0,2.0,-2.9,0.5
135,5.0,-5.0,-2.63,0.497
136,-1.0,1.0,-2.7,0.495
137,4.0,-4.0,-2.6,0.492
138,1.0,-1.0,-2.6,0.49
139,-10.0,10.0,-2.67,0.487
140,-12.0,12.0,-2.93,0.484
141,-7.0,7.0,-3.3,0.482
142,-8.0,8.0,-3.8,0.479
143,-1.0,1.0,-3.93,0.477
144,4.0,-4.0,-3.77,0.474
145,-6.0,6.0,-3.93,0.472
146,0.0,0.0,-3.53,0.469
147,2.0,-2.0,-3.4,0.466
148,12.0,-12.0,-2.97,0.464
149,-4.0,4.0,-3.03,0.462
150,2.0,-2.0,-2.4,0.459
151,-3.0,3.0,-2.1,0.457
152,-17.0,17.0,-2.53,0.454
153,-17.0,17.0,-3.17,0.452
154,-3.0,3.0,-3.3,0.449
155,7.0,-7.0,-2.9,0.447
156,-17.0,17.0,-2.97,0.445
157,4.0,-4.0,-2.8,0.442
158,-7.0,7.0,-2.83,0.44
159,-5.0,5.0,-2.73,0.437
160,-11.0,11.0,-3.23,0.435
161,-4.0,4.0,-3.13,0.433
162,-2.0,2.0,-3.2,0.43
163,-10.0,10.0,-3.53,0.428
164,-2.0,2.0,-3.53,0.426
165,-3.0,3.0,-3.8,0.424
166,27.0,-27.0,-2.87,0.421
167,-20.0,20.0,-3.67,0.419
168,-14.0,14.0,-4.17,0.417
169,0.0,0.0,-3.83,0.415
170,3.0,-3.0,-3.33,0.412
171,-4.0,4.0,-3.23,0.41
172,1.0,-1.0,-2.93,0.408
173,-3.0,3.0,-3.0,0.406
174,0.0,0.0,-3.13,0.404
175,6.0,-6.0,-2.73,0.402
176,-5.0,5.0,-2.9,0.399
177,-2.0,2.0,-3.03,0.397
178,0.0,0.0,-3.43,0.395
179,-5.0,5.0,-3.47,0.393
180,0.0,0.0,-3.53,0.391
181,-17.0,17.0,-4.0,0.389
182,-25.0,25.0,-4.27,0.387
183,6.0,-6.0,-3.5,0.385
184,-18.0,18.0,-4.0,0.383
185,-5.0,5.0,-4.4,0.381
186,1.0,-1.0,-3.8,0.379
187,-15.0,15.0,-4.43,0.377
188,4.0,-4.0,-4.07,0.375
189,-8.0,8.0,-4.17,0.373
190,-1.0,1.0,-3.83,0.371
191,2.0,-2.0,-3.63,0.369
192,-4.0,4.0,-3.7,0.367
