episode,reward_first0,reward_second0,rolling_avg_30,epsilon
0,-3.0,3.0,-3.0,1.0
1,-4.0,4.0,-3.5,1.0
2,4.0,-4.0,-1.0,1.0
3,9.0,-9.0,1.5,1.0
4,-5.0,5.0,0.2,1.0
5,2.0,-2.0,0.5,0.998
6,-2.0,2.0,0.14,0.993
7,-5.0,5.0,-0.5,0.987
8,-11.0,11.0,-1.67,0.982
9,-3.0,3.0,-1.8,0.977
10,-11.0,11.0,-2.64,0.972
11,-4.0,4.0,-2.75,0.966
12,-1.0,1.0,-2.62,0.961
13,-2.0,2.0,-2.57,0.956
14,-1.0,1.0,-2.47,0.951
15,-2.0,2.0,-2.44,0.946
16,-4.0,4.0,-2.53,0.941
17,10.0,-10.0,-1.83,0.936
18,-6.0,6.0,-2.05,0.931
19,-1.0,1.0,-2.0,0.926
20,12.0,-12.0,-1.33,0.921
21,-7.0,7.0,-1.59,0.916
22,-10.0,10.0,-1.96,0.911
23,5.0,-5.0,-1.67,0.906
24,1.0,-1.0,-1.56,0.901
25,5.0,-5.0,-1.31,0.897
26,-5.0,5.0,-1.44,0.892
27,1.0,-1.0,-1.36,0.887
28,2.0,-2.0,-1.24,0.882
29,3.0,-3.0,-1.1,0.878
30,-8.0,8.0,-1.27,0.873
31,4.0,-4.0,-1.0,0.868
32,-8.0,8.0,-1.4,0.864
33,-2.0,2.0,-1.77,0.859
34,-8.0,8.0,-1.87,0.854
35,-1.0,1.0,-1.97,0.85
36,1.0,-1.0,-1.87,0.845
37,-13.0,13.0,-2.13,0.841
38,-1.0,1.0,-1.8,0.836
39,9.0,-9.0,-1.4,0.832
40,-3.0,3.0,-1.13,0.827
41,-2.0,2.0,-1.07,0.823
42,-1.0,1.0,-1.07,0.819
43,5.0,-5.0,-0.83,0.814
44,-15.0,15.0,-1.3,0.81
45,2.0,-2.0,-1.17,0.805
46,11.0,-11.0,-0.67,0.801
47,1.0,-1.0,-0.97,0.797
48,-7.0,7.0,-1.0,0.793
49,-4.0,4.0,-1.1,0.788
50,-6.0,6.0,-1.7,0.784
51,0.0,0.0,-1.47,0.78
52,2.0,-2.0,-1.07,0.776
53,4.0,-4.0,-1.1,0.772
54,-5.0,5.0,-1.3,0.768
55,-3.0,3.0,-1.57,0.763
56,-10.0,10.0,-1.73,0.759
57,-3.0,3.0,-1.87,0.755
58,6.0,-6.0,-1.73,0.751
59,6.0,-6.0,-1.63,0.747
60,-3.0,3.0,-1.47,0.743
61,0.0,0.0,-1.6,0.739
62,8.0,-8.0,-1.07,0.735
63,4.0,-4.0,-0.87,0.731
64,-2.0,2.0,-0.67,0.728
65,-1.0,1.0,-0.67,0.724
66,0.0,0.0,-0.7,0.72
67,0.0,0.0,-0.27,0.716
68,5.0,-5.0,-0.07,0.712
69,3.0,-3.0,-0.27,0.708
70,2.0,-2.0,-0.1,0.705
71,4.0,-4.0,0.1,0.701
72,-2.0,2.0,0.07,0.697
73,23.0,-23.0,0.67,0.693
74,4.0,-4.0,1.3,0.69
75,0.0,0.0,1.23,0.686
76,15.0,-15.0,1.37,0.682
77,-7.0,7.0,1.1,0.679
78,1.0,-1.0,1.37,0.675
79,-9.0,9.0,1.2,0.671
80,-3.0,3.0,1.3,0.668
81,-4.0,4.0,1.17,0.664
82,-2.0,2.0,1.03,0.661
83,1.0,-1.0,0.93,0.657
84,2.0,-2.0,1.17,0.654
85,-8.0,8.0,1.0,0.65
86,-4.0,4.0,1.2,0.647
87,5.0,-5.0,1.47,0.643
88,4.0,-4.0,1.4,0.64
89,3.0,-3.0,1.3,0.636
90,4.0,-4.0,1.53,0.633
91,-2.0,2.0,1.47,0.63
92,12.0,-12.0,1.6,0.626
93,-1.0,1.0,1.43,0.623
94,-9.0,9.0,1.2,0.62
95,4.0,-4.0,1.37,0.616
96,-3.0,3.0,1.27,0.613
97,3.0,-3.0,1.37,0.61
98,-4.0,4.0,1.07,0.606
99,-5.0,5.0,0.8,0.603
100,10.0,-10.0,1.07,0.6
101,-1.0,1.0,0.9,0.597
102,-5.0,5.0,0.8,0.594
103,-12.0,12.0,-0.37,0.59
104,-15.0,15.0,-1.0,0.587
105,-4.0,4.0,-1.13,0.584
106,-16.0,16.0,-2.17,0.581
107,-3.0,3.0,-2.03,0.578
108,10.0,-10.0,-1.73,0.575
109,-8.0,8.0,-1.7,0.572
110,13.0,-13.0,-1.17,0.569
111,-12.0,12.0,-1.43,0.566
112,-4.0,4.0,-1.5,0.563
113,-2.0,2.0,-1.6,0.56
114,21.0,-21.0,-0.97,0.557
115,1.0,-1.0,-0.67,0.554
116,-2.0,2.0,-0.6,0.551
117,2.0,-2.0,-0.7,0.548
118,5.0,-5.0,-0.67,0.545
119,-1.0,1.0,-0.8,0.542
120,8.0,-8.0,-0.67,0.539
121,0.0,0.0,-0.6,0.536
122,-5.0,5.0,-1.17,0.533
123,-2.0,2.0,-1.2,0.53
124,2.0,-2.0,-0.83,0.528
125,-8.0,8.0,-1.23,0.525
126,0.0,0.0,-1.13,0.522
127,8.0,-8.0,-0.97,0.519
128,-5.0,5.0,-1.0,0.516
129,2.0,-2.0,-0.77,0.514
130,5.0,-5.0,-0.93,0.511
131,-11.0,11.0,-1.27,0.508
132,-9.0,9.0,-1.4,0.506
133,9.0,-9.0,-0.7,0.503
134,-4.0,4.0,-0.33,0.5
135,-8.0,8.0,-0.47,0.497
136,-3.0,3.0,-0.03,0.495
137,-8.0,8.0,-0.2,0.492
138,5.0,-5.0,-0.37,0.49
139,-17.0,17.0,-0.67,0.487
140,0.0,0.0,-1.1,0.484
141,6.0,-6.0,-0.5,0.482
142,3.0,-3.0,-0.27,0.479
143,-2.0,2.0,-0.27,0.477
144,-3.0,3.0,-1.07,0.474
145,3.0,-3.0,-1.0,0.472
146,-1.0,1.0,-0.97,0.469
147,-6.0,6.0,-1.23,0.466
148,0.0,0.0,-1.4,0.464
149,1.0,-1.0,-1.33,0.462
150,0.0,0.0,-1.6,0.459
151,7.0,-7.0,-1.37,0.457
152,-11.0,11.0,-1.57,0.454
153,-2.0,2.0,-1.57,0.452
154,-4.0,4.0,-1.77,0.449
155,6.0,-6.0,-1.3,0.447
156,-3.0,3.0,-1.4,0.445
157,7.0,-7.0,-1.43,0.442
158,-9.0,9.0,-1.57,0.44
159,1.0,-1.0,-1.6,0.437
160,0.0,0.0,-1.77,0.435
161,5.0,-5.0,-1.23,0.433
162,-6.0,6.0,-1.13,0.43
163,-8.0,8.0,-1.7,0.428
164,-4.0,4.0,-1.7,0.426
165,1.0,-1.0,-1.4,0.424
166,-3.0,3.0,-1.4,0.421
167,-3.0,3.0,-1.23,0.419
168,-2.0,2.0,-1.47,0.417
169,-4.0,4.0,-1.03,0.415
170,11.0,-11.0,-0.67,0.412
171,-3.0,3.0,-0.97,0.41
172,-8.0,8.0,-1.33,0.408
173,16.0,-16.0,-0.73,0.406
174,-7.0,7.0,-0.87,0.404
175,3.0,-3.0,-0.87,0.402
176,-6.0,6.0,-1.03,0.399
177,-7.0,7.0,-1.07,0.397
178,4.0,-4.0,-0.93,0.395
179,4.0,-4.0,-0.83,0.393
180,8.0,-8.0,-0.57,0.391
181,8.0,-8.0,-0.53,0.389
182,7.0,-7.0,0.07,0.387
183,-6.0,6.0,-0.07,0.385
184,2.0,-2.0,0.13,0.383
185,1.0,-1.0,-0.03,0.381
186,-4.0,4.0,-0.07,0.379
187,-9.0,9.0,-0.6,0.377
188,-11.0,11.0,-0.67,0.375
189,-12.0,12.0,-1.1,0.373
190,-4.0,4.0,-1.23,0.371
191,-1.0,1.0,-1.43,0.369
192,-3.0,3.0,-1.33,0.367
193,3.0,-3.0,-0.97,0.365
194,-18.0,18.0,-1.43,0.363
195,-7.0,7.0,-1.7,0.361
196,-1.0,1.0,-1.63,0.359
197,0.0,0.0,-1.53,0.357
198,0.0,0.0,-1.47,0.355
199,-14.0,14.0,-1.8,0.353
200,-10.0,10.0,-2.5,0.351
201,-1.0,1.0,-2.43,0.349
202,4.0,-4.0,-2.03,0.347
203,14.0,-14.0,-2.1,0.346
204,8.0,-8.0,-1.6,0.344
205,7.0,-7.0,-1.47,0.342
206,-5.0,5.0,-1.43,0.34
207,-11.0,11.0,-1.57,0.338
208,13.0,-13.0,-1.27,0.336
209,-5.0,5.0,-1.57,0.335
210,2.0,-2.0,-1.77,0.333
211,-7.0,7.0,-2.27,0.331
